,date,Intensity_economia,Polarization_economia,Subjectivity_economia,Intensity_gimnasio,Polarization_gimnasio,gimnasio,sanitas,adeslas,decathlon,IBEX35_close,crecimiento,mes,mes,mes,mes,mes
0,2014-01-13,-0.02890487804878049,-0.01808943089430894,0.1113821138211382,-0.011555481727574743,0.036821705426356585,14.0,7.0,9.0,32.0,10365.5,-0.018750000000000044,1,1,1,1,1
1,2014-01-14,-0.02890487804878049,-0.01808943089430894,0.1113821138211382,-0.032733009708737874,0.028640776699029133,14.0,7.0,9.0,32.0,10382.0,-0.018750000000000044,1,1,1,1,1
2,2014-01-15,-0.004293055555555553,0.02468171296296296,0.08912037037037036,-0.035196226415094345,0.01757075471698113,14.0,7.0,9.0,32.0,10525.0,-0.018750000000000044,1,1,1,1,1
3,2014-01-16,-0.042230952380952376,0.025462962962962958,0.04914021164021164,-0.02629641025641025,0.008205128205128205,14.0,7.0,9.0,32.0,10455.5,-0.018750000000000044,1,1,1,1,1
4,2014-01-17,-0.026460759493670882,0.001489978902953586,0.07236286919831221,-0.012391463414634143,0.03337028824833703,14.0,7.0,9.0,32.0,10465.7001953125,-0.018750000000000044,1,1,1,1,1
5,2014-01-18,0.014510416666666666,0.02152777777777778,0.01388888888888889,-0.0036925373134328327,0.06716417910447761,14.0,7.0,9.0,32.0,10454.099609375,-0.018750000000000044,1,1,1,1,1
6,2014-01-19,-0.03165479452054793,-0.015975313926940644,0.1050228310502283,-0.003416129032258061,0.016129032258064516,14.0,7.0,9.0,32.0,10454.099609375,-0.018750000000000044,1,1,1,1,1
7,2014-01-20,-0.025939610389610387,0.0047957251082251075,0.06612554112554113,-0.0393823275862069,0.013577586206896551,14.0,7.0,9.0,32.0,10454.099609375,-0.018750000000000044,1,1,1,1,1
8,2014-01-21,-0.028985123966942142,-0.005130853994490358,0.08581267217630853,-0.022318085106382973,0.035106382978723406,14.0,7.0,9.0,32.0,10357.400390625,-0.018750000000000044,1,1,1,1,1
9,2014-01-22,-0.056024369747899185,-0.012885154061624651,0.04838935574229691,-0.002750531914893617,0.05886524822695036,14.0,7.0,9.0,32.0,10279.7001953125,-0.018750000000000044,1,1,1,1,1
10,2014-01-23,-0.015978523489932873,0.0065995525727069355,0.0494407158836689,0.01985033112582781,0.035099337748344374,14.0,7.0,9.0,32.0,10241.2001953125,-0.018750000000000044,1,1,1,1,1
11,2014-01-24,0.0013619565217391349,0.019112318840579703,0.07871376811594204,-0.00028714285714285484,0.03214285714285714,14.0,7.0,9.0,32.0,9868.900390625,-0.018750000000000044,1,1,1,1,1
